Sample:	Donor	IL2 Source	IL2 concentration (IU/mL)	Live/CD4+ CD8+ | Freq. of Parent	Live/CD4+ CD8- | Freq. of Parent	Live/CD4- CD8+ | Freq. of Parent	Live/CD4- CD8- | Freq. of Parent	Live/CD25+ | Freq. of Parent	Live/CD25- | Freq. of Parent
N4-0.fcs	D4	NIH	0	0.96	61.2	34.2	3.57	63	37
N4-32.fcs	D4	NIH	32	0.93	63.1	32.4	3.51	61.5	38.5
N4-64.fcs	D4	NIH	64	1.29	61.4	33.7	3.54	62.3	37.7
N4-125.fcs	D4	NIH	125	0.9	63.7	32.1	3.38	62.1	37.9
N4-250.fcs	D4	NIH	250	0.95	63.2	32.5	3.41	62.8	37.2
N4-500.fcs	D4	NIH	500	0.74	66.5	29.4	3.41	60	40
N15-0.fcs	D15	NIH	0	1.75	83.2	12.1	2.93	57.7	42.3
N15-32.fcs	D15	NIH	32	1.67	84	11.2	3.18	59.6	40.4
N15-64.fcs	D15	NIH	64	1.76	83.5	11.6	3.19	59.5	40.5
N15-125.fcs	D15	NIH	125	1.56	83.2	11.9	3.35	60.4	39.6
N15-250.fcs	D15	NIH	250	1.55	83.3	11.7	3.49	60	40
N15-500.fcs	D15	NIH	500	1.36	83.2	12.1	3.39	58.2	41.8
N16-0.fcs	D16	NIH	0	1.07	61.9	36	1.08	62.9	37.1
N16-32.fcs	D16	NIH	32	1.09	61.7	36.1	1.17	61.7	38.3
N16-64.fcs	D16	NIH	64	1.13	61.4	36.2	1.26	60.9	39.1
N16-125.fcs	D16	NIH	125	1.33	61.8	35.7	1.13	63.2	36.8
N16-250.fcs	D16	NIH	250	1.08	61.1	36.7	1.16	60	40
N16-500.fcs	D16	NIH	500	1.18	61.6	36	1.17	62	38
N17-0.fcs	D17	NIH	0	2.15	55.9	39.5	2.41	70.4	29.6
N17-32.fcs	D17	NIH	32	2.52	56.1	38.8	2.6	70	30
N17-64.fcs	D17	NIH	64	2.36	56.3	38.8	2.59	69.2	30.8
N17-125.fcs	D17	NIH	125	2.59	55	40.2	2.18	68.7	31.3
N17-250.fcs	D17	NIH	250	2.76	55.1	39.5	2.61	70.2	29.8
N17-500.fcs	D17	NIH	500	2.1	55.5	40	2.41	69.3	30.7
S4-0.fcs	D4	Sigma	0	0.74	61.4	34.2	3.71	63.1	36.9
S4-32.fcs	D4	Sigma	32	0.61	61.9	33.3	4.17	58.3	41.7
S4-64.fcs	D4	Sigma	64	0.62	61.5	33.8	4.04	60.1	39.9
S4-125.fcs	D4	Sigma	125	0.68	63.2	32.5	3.67	61.4	38.6
S4-250.fcs	D4	Sigma	250	0.67	61.9	33.3	4.19	58.3	41.7
S4-500.fcs	D4	Sigma	500	0.44	47.4	22.7	29.4	27.5	72.5
S15-0.fcs	D15	Sigma	0	1.12	82.1	13.1	3.66	57.6	42.4
S15-32.fcs	D15	Sigma	32	1.22	82.2	12.9	3.65	58.7	41.3
S15-64.fcs	D15	Sigma	64	1.29	81.9	12.8	3.97	57.3	42.7
S15-125.fcs	D15	Sigma	125	1.21	81.6	13	4.2	57	43
S15-250.fcs	D15	Sigma	250	1.19	82.2	12.7	3.98	56.5	43.5
S15-500.fcs	D15	Sigma	500	1.17	82.4	12.3	4.12	57.5	42.5
S16-0.fcs	D16	Sigma	0	0.75	61.8	36.2	1.24	62.8	37.2
S16-32.fcs	D16	Sigma	32	0.85	60.9	36.9	1.31	59.7	40.3
S16-64.fcs	D16	Sigma	64	0.86	61.9	36	1.25	59.4	40.6
S16-125.fcs	D16	Sigma	125	0.88	61.5	36.4	1.19	60.1	39.9
S16-250.fcs	D16	Sigma	250	0.95	61.4	36.4	1.23	61.6	38.4
S16-500.fcs	D16	Sigma	500	0.93	61.7	36.1	1.32	62.1	37.9
S17-0.fcs	D17	Sigma	0	1.25	55.4	40.2	3.22	66.9	33.1
S17-32.fcs	D17	Sigma	32	1.15	55.1	40.6	3.13	66.4	33.6
S17-64.fcs	D17	Sigma	64	1.38	56.1	39.4	3.18	69.6	30.4
S17-125.fcs	D17	Sigma	125	1.3	55.4	40	3.3	67.5	32.5
S17-250.fcs	D17	Sigma	250	1.33	54.6	40.6	3.42	65.6	34.4
S17-500.fcs	D17	Sigma	500	1.11	55.2	39.6	4.11	64.1	35.9
