Replicate	Bead:cell ratio	Live cells/CD3+ | Freq. of Parent (%)	Live cells/CD3- | Freq. of Parent (%)	Live cells/CD3+/CD3+ CD8- CD4+ | Freq. of Parent (%)	Live cells/CD3+/CD3+ CD8+ CD4- | Freq. of Parent (%)
R1	0:1	29.1	70.9	37.8	17.1
R1	1:1	88.7	11.3	71.4	15.8
R1	1:2	81.6	18.4	77.2	17.8
R1	1:4	73.9	26.1	76.9	18.5
R2	0:1	47.5	52.5	77.5	18.3
R2	1:1	89	11	78.7	16.4
R2	1:2	74.1	25.9	78.5	16.1
R2	1:4	72.5	27.5	77.2	18.6
R3	0:1	48.5	51.5	77.3	18.6
R3	1:1	88.6	11.4	79.5	15.3
R3	1:2	79.9	20.1	77.5	18.4
R3	1:4	72.7	27.3	77.2	18.5
