Media,Buffer,Electroporation,Replicate,GFP+ Percent,Live cells per ml
OPTimizer,R,No,1,0.22,1.77E+06
OPTimizer,R,No,2,0.25,1.87E+06
OPTimizer,R,No,3,0.23,1.85E+06
OPTimizer,R,Yes,1,93.3,1.29E+05
OPTimizer,R,Yes,2,92.5,1.11E+05
OPTimizer,R,Yes,3,93.7,8.53E+04
OPTimizer,T,No,1,0.61,2.26E+06
OPTimizer,T,No,2,0.37,1.75E+06
OPTimizer,T,No,3,0.23,1.97E+06
OPTimizer,T,Yes,1,40.7,4.69E+04
OPTimizer,T,Yes,2,26.5,5.57E+04
OPTimizer,T,Yes,3,27,4.70E+04
RPMI1640,R,No,1,0.42,7.16E+05
RPMI1640,R,No,2,0.5,6.04E+05
RPMI1640,R,No,3,0.47,5.04E+05
RPMI1640,R,Yes,1,69,2.67E+05
RPMI1640,R,Yes,2,69.7,2.23E+05
RPMI1640,R,Yes,3,67.8,2.17E+05
RPMI1640,T,No,1,1.1,7.86E+05
RPMI1640,T,No,2,0.71,7.33E+05
RPMI1640,T,No,3,0.59,8.30E+05
RPMI1640,T,Yes,1,64.2,2.82E+05
RPMI1640,T,Yes,2,65.7,2.11E+05
RPMI1640,T,Yes,3,64.2,2.38E+05
